OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,ItemsInCart,CustomerRating,TotalPrice,OrderDayOfWeek,OrderHour,IsWeekend,AvgItemValueInCart,CustomerOrderCount,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD000001,2023-01-01 00:00:00,C25795,4.0,206.66461109579032,774 Main St,4.0,3.664780393491599,826.6584443831613,6,0,1,206.66409443555426,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
ORD000003,2023-01-01 02:00:00,C86820,3.0,899.0674067502878,704 Main St,5.0,1.8132238840117587,2697.202220250864,6,2,1,539.4393651714424,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
ORD000004,2023-01-01 03:00:00,C64886,2.0,834.9929103157855,141 Main St,5.0,3.1038283970721627,1669.985820631571,6,3,1,333.99649613332195,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
ORD000005,2023-01-01 04:00:00,C16265,4.0,174.74662769776762,895 Main St,9.0,3.016125322481386,698.9865107910705,6,4,1,77.66508157113942,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
ORD000006,2023-01-01 05:00:00,C92386,2.0,132.6890253052481,478 Main St,7.0,2.5973233317087487,265.3780506104962,6,5,1,37.911095928505276,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
ORD000007,2023-01-01 06:00:00,C47194,2.0,202.95096981850173,821 Main St,8.0,3.6649396160231498,405.90193963700347,6,6,1,50.73767903252664,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
ORD000008,2023-01-01 07:00:00,C97498,2.0,899.1021416152881,305 Main St,5.0,4.870649103233937,1798.2042832305765,6,7,1,359.6401373658406,1,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False
ORD000009,2023-01-01 08:00:00,C54131,3.0,839.3000870697656,565 Main St,5.0,2.702613791262421,2517.900261209297,6,8,1,503.57904508376924,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
ORD000010,2023-01-01 09:00:00,C70263,1.0,388.9241484532792,831 Main St,7.0,1.8008957616292265,388.9241484532792,6,9,1,55.56051326402094,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
ORD000012,2023-01-01 11:00:00,C51090,1.0,1239.0978779806917,747 Main St,9.0,3.976798099442466,1239.0978779806917,6,11,1,137.67738902297793,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
